Region;District;Pszenica;Øyto;JÍczmieÒ;Owies;Gryka;Groch;Ziemniaki jadalne;Ziemniaki fabryczne;Siano koniczyny;Siano ≥πkowe;S≥oma;koÒ roboczy (cena minimalna);koÒ roboczy (cena maksymalna);krowa dojna (cena minimalna);krowa dojna (cena maksymalna)
STANIS£AWOWSKIE;ROHATY—SKI;50,4;41,07;38,4;40,3;42;48;9,65;7,08;14,05;11,68;5,43;339.0;620.0;409.0;666.0
STANIS£AWOWSKIE;SKOLSKI;55,57;46,24;43,91;44;X;X;15,39;X;17,28;13,07;7,18;172.0;353.0;281.0;476.0
STANIS£AWOWSKIE;STANIS£AWOWSKI;52;43,6;40,67;42,8;41,5;50;11,33;7;14,5;12;5,5;270.0;550.0;430.0;700.0
STANIS£AWOWSKIE;STRYJSKI;51,29;41,89;37,5;40,33;49,5;52;13,87;11,75;15;11,67;6,21;148.0;312.0;285.0;475.0
STANIS£AWOWSKIE;TURCZA—SKI;57,56;52,67;48,5;47,29;X;X;13,5;8;15,5;13,58;6;193.0;386.0;236.0;424.0
STANIS£AWOWSKIE;T£UMACKI;49,57;41,33;39,25;41,75;44,25;X;9,9;X;15;10;4,25;321.0;557.0;414.0;729.0
STANIS£AWOWSKIE;åNIATY—SKI;48,83;39,83;37,6;39;X;X;12,67;9;14,67;11,33;7,33;230.0;522.0;358.0;573.0
STANIS£AWOWSKIE;ØYDACZOWSKI;47,63;38,19;36,23;37,69;43,5;50;9,93;8;14,22;11,8;7,05;214.0;406.0;359.0;609.0
TARNOPOLSKIE;BORSZCZOWSKI;48,36;39,36;36,77;38,6;46,5;53;10,14;X;11,64;9;6,08;383.0;654.0;441.0;646.0
TARNOPOLSKIE;BRODZKI;49,25;38,75;36,5;38;39,33;X;12,67;8;13;11,25;4,75;275.0;475.0;363.0;563.0
TARNOPOLSKIE;BRZEØA—SKI;47,56;37,6;37;36,56;38,13;42,75;8,57;6;10,36;9,57;4,17;261.0;460.0;375.0;590.0
TARNOPOLSKIE;BUCZACKI;48,18;38,5;36,09;37,09;44,33;56,8;9,75;7,5;10,38;7,5;5;290.0;481.0;440.0;628.0
TARNOPOLSKIE;CZORTKOWSKI;48,36;37;36,64;37;42,22;60,63;13,43;7;12,14;9,75;4,14;388.0;648.0;453.0;699.0
TARNOPOLSKIE;KAMIONECKI;47,36;37,78;33,92;36,55;39,2;54;10,67;X;12,4;8,27;4,89;237.0;475.0;313.0;620.0
TARNOPOLSKIE;KOPYCZYNIECKI;49,08;39;38,91;38;45,25;54,6;13,17;X;11,6;7,33;4,4;257.0;598.0;365.0;666.0
TARNOPOLSKIE;PODHAJECKI;47,5;37,6;36,57;36,56;37,4;48;7,75;6;11,36;7,71;4,13;329.0;499.0;386.0;549.0
TARNOPOLSKIE;PRZEMYåLA—SKI;48,43;40,27;38,38;38,91;45,2;54,13;9,68;8,67;11,1;9,18;6,04;264.0;508.0;371.0;629.0
TARNOPOLSKIE;RADZIECHOWSKI;46,4;35,5;33,44;34,67;37,29;41,6;8,29;8;9,17;6,44;5;163.0;412.0;238.0;482.0
TARNOPOLSKIE;SKA£ACKI;48,25;37,8;34,93;36,46;40;53,71;9,33;6;13;8,83;4,74;304.0;606.0;388.0;669.0
TARNOPOLSKIE;TARNOPOLSKI;49,42;38,09;37,08;37;40,63;46;9,5;7,33;12,78;9,56;5,5;283.0;494.0;450.0;630.0
TARNOPOLSKIE;TREMBOWELSKI;48,12;38,22;34,76;36,59;39,69;50;10;8,22;7,94;7,13;5,47;290.0;495.0;388.0;631.0
TARNOPOLSKIE;ZALESZCZYCKI;47,92;39,55;37,92;38,88;42;63,33;15,17;X;12;10;4,08;352.0;612.0;417.0;646.0
TARNOPOLSKIE;ZBARASKI;48,55;39,73;38,38;38,56;41,4;54,3;7,43;X;10;8,58;5,07;281.0;518.0;323.0;575.0
TARNOPOLSKIE;ZBOROWSKI;46,6;33;30,5;32,5;33,33;38,33;9;7,5;10,5;8,67;5,5;258.0;467.0;303.0;483.0
TARNOPOLSKIE;Z£OCZOWSKI;48,09;38,8;35,91;37,33;41;49,33;9,3;6;12,1;10;5,78;268.0;500.0;366.0;592.0
WARSZAWSKIE;B£O—SKI;53,55;43,44;41,62;41,92;64;66;18,9;16,5;15,3;10,5;6,56;379.0;730.0;441.0;773.0
WARSZAWSKIE;CIECHANOWSKI;52,13;40;39;39,77;48,33;55,22;12,5;9,25;9,1;7,4;4,41;332.0;773.0;375.0;710.0
WARSZAWSKIE;GOSTYNI—SKI;52,44;41,63;39,29;41,07;43,83;61,6;15,88;14;11,4;8,63;4,92;406.0;750.0;358.0;605.0
WARSZAWSKIE;GR”JECKI;54,84;41,88;40,33;42,53;52,5;65,5;15,24;11,8;18,22;13,91;8,41;335.0;738.0;380.0;760.0
WARSZAWSKIE;KUTNOWSKI;51,31;40,43;40,08;39,2;X;70;17;11;12,25;10,13;5,13;423.0;762.0;446.0;892.0
WARSZAWSKIE;LIPNOWSKI;52,46;41,5;39,69;41,38;51;52;14,6;12;17,75;12,71;6,88;367.0;623.0;332.0;507.0
WARSZAWSKIE;MAKOWSKI (MAK”W MAZOWIECKI);52,83;39;39;37,71;45;51,5;12,3;7,67;11;8,56;4,54;275.0;505.0;315.0;555.0
WARSZAWSKIE;MI—SKI;51,5;38;38;37,25;45;65;14;X;18,67;12,67;7,5;313.0;516.0;420.0;750.0
WARSZAWSKIE;M£AWSKI;50,44;39,71;37,54;38,91;50;51,5;13,15;8,25;9,86;8,07;5,35;283.0;585.0;300.0;563.0
WARSZAWSKIE;NIESZAWSKI;51,35;39,88;38,95;39,05;X;52,58;13,15;7,67;11,63;9,43;5,35;395.0;649.0;390.0;629.0
WARSZAWSKIE;PRZASNYCKI;50;38,4;36,75;38,3;X;X;11,71;9;7;5,5;4,33;300.0;461.0;336.0;550.0
WARSZAWSKIE;PU£TUSKI;52,08;39,36;37,92;38,56;50;56,17;13,66;11,67;15,45;11,25;5,73;350.0;713.0;370.0;710.0
WARSZAWSKIE;P£OCKI;51,39;39,68;38,63;39,61;53,2;57;15,97;14,67;10,37;8,79;5,75;359.0;693.0;353.0;640.0
WARSZAWSKIE;P£O—SKI;50,67;39,85;39,17;40,18;X;X;13,57;14;13;9,8;4,67;386.0;700.0;398.0;691.0
WARSZAWSKIE;RADZYMI—SKI;51,11;40,94;40,38;39,38;48,88;57,25;14,58;14,5;16;11,76;6,72;288.0;538.0;409.0;718.0
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);50;39,11;37,74;39,56;45;54,67;16,97;X;15,09;11,29;5,56;317.0;595.0;361.0;545.0
WARSZAWSKIE;RYPI—SKI;49,75;38,71;37,93;38,3;X;60;12,56;X;9,8;7,4;4,8;419.0;715.0;354.0;608.0
WARSZAWSKIE;SIERPECKI;52,1;40,12;38,88;40,88;49,13;47,43;12,76;8,67;11,9;8,18;5,21;320.0;588.0;310.0;530.0
WARSZAWSKIE;SKIERNIEWICKI;51,8;40,67;39,2;39,44;X;66,67;15,92;11,67;13,4;10,6;5,13;404.0;692.0;368.0;654.0
WARSZAWSKIE;SOCHACZEWSKI;49,86;39,43;37,4;38,86;X;65;17,43;13,5;16;14;7,33;354.0;644.0;369.0;606.0
WARSZAWSKIE;WARSZAWSKI;53,6;41;39,58;41,13;59;62;19,46;14;21,54;17,23;9,86;406.0;883.0;543.0;915.0
WARSZAWSKIE;W£OC£AWSKI;51;40,83;39,36;39,75;50;68,75;16,13;X;11,71;10,29;6;337.0;667.0;416.0;717.0
WARSZAWSKIE;£OWICKI;49,64;40,4;37,45;40,2;44;61,67;15;12,33;14,44;11;7;418.0;809.0;425.0;750.0
WO£Y—SKIE;DUBIE—SKI;46,71;35,67;32,5;32,71;39;47,67;6,94;6,5;12,03;11,06;4,65;286.0;621.0;310.0;607.0
WO£Y—SKIE;HOROCHOWSKI;50,33;38,36;36,4;36,82;38,5;43,6;7,22;7;8,5;6,67;4,19;269.0;550.0;310.0;503.0
WO£Y—SKIE;KOSTOPOLSKI;43,5;35,14;33,6;36,75;40,8;43,25;10,26;X;9,24;5,7;2,85;235.0;394.0;254.0;503.0
WO£Y—SKIE;KOWELSKI;51,55;40,46;38,67;40,41;43,1;48,5;15,21;10;13,86;9,62;5,56;245.0;489.0;325.0;537.0
WO£Y—SKIE;KRZEMIENIECKI;46,45;35,85;32,38;34,58;39,85;43,36;8,64;6,3;10,73;7,82;4,74;280.0;414.0;302.0;453.0
WO£Y—SKIE;LUBOMELSKI;50,75;39,17;37,17;38;39,75;47,75;13,13;X;16,5;11,25;6,5;245.0;463.0;313.0;542.0
WO£Y—SKIE;R”WIE—SKI;44,78;36,9;34,3;36,82;40,67;42,67;9,69;8,2;9,73;8;3,17;366.0;613.0;325.0;540.0
WO£Y—SKIE;W£ODZIMIERSKI;48,27;37,5;35,67;36,3;41,29;46;12;10;8,7;7,19;3,38;275.0;535.0;276.0;545.0
WO£Y—SKIE;ZDO£BUNOWSKI;49,43;38;36;33,88;35,67;39;7,41;5,7;12,04;9,54;4,59;295.0;493.0;324.0;538.0
WO£Y—SKIE;£UCKI;48,25;40,86;36,29;36,5;38,75;44,4;9,89;8,7;10,8;7,8;4,28;288.0;518.0;286.0;496.0
ZIEMIA WILE—SKA;BRAS£AWSKI;61,7;54,42;52,53;45,55;50;50,94;16,95;X;11,38;7,73;5,82;231.0;403.0;226.0;403.0
ZIEMIA WILE—SKA;DZIåNIE—SKI;55,67;50;47,92;41,43;45;42,27;14,36;10;12;8,28;6,8;254.0;461.0;248.0;436.0
ZIEMIA WILE—SKA;MO£ODECZA—SKI;55,82;49,57;48,25;45,07;47,5;50,08;14,29;9;12,46;9,94;5,83;335.0;561.0;296.0;484.0
ZIEMIA WILE—SKA;OSZMIA—SKI;60;59;54,67;52,67;52,5;58,5;14,93;X;14,4;11;8,7;283.0;417.0;300.0;467.0
ZIEMIA WILE—SKA;POSTAWSKI;59,89;54;50,44;47,67;51;48,3;13,25;X;11,04;9,25;5,62;280.0;497.0;296.0;475.0
ZIEMIA WILE—SKA;WILEJSKI;58,5;52;50,5;48,56;46,29;52,18;16,13;13,56;13,46;10,13;6,73;306.0;505.0;251.0;407.0
ZIEMIA WILE—SKA;WILE—SKO-TROCKI;62;52,56;51,88;51,2;51,17;57;16,82;X;14,25;10,38;8,57;314.0;564.0;350.0;605.0
ZIEMIA WILE—SKA;WILNO (MIASTO);;;;;;;;;;;;;;;
ZIEMIA WILE—SKA;åWI CIA—SKI;63,2;54,09;50,3;49,64;51;53,5;18,33;X;12;9,77;6,83;278.0;500.0;258.0;460.0
£”DZKIE;BRZEZI—SKI;52,15;43,75;42,33;41,77;X;X;18,2;11;14,44;11;7,35;320.0;644.0;366.0;663.0
£”DZKIE;KALISKI;51,33;42,5;41,25;41,92;X;70;14,91;12;15,11;13;6,3;279.0;562.0;350.0;667.0
£”DZKIE;KOLSKI;48,38;39,2;38,46;38,85;X;45;14,84;8;13;11,4;5,9;313.0;575.0;362.0;610.0
£”DZKIE;KONI—SKI;49,72;38,58;38,38;37,67;48,57;54;11,5;7,2;12,9;10,09;5,29;332.0;618.0;330.0;627.0
£”DZKIE;PIOTRKOWSKI;52;39,78;39,17;39,07;X;X;16,86;15,25;15,85;12,47;7,75;287.0;583.0;317.0;578.0
£”DZKIE;RADOMSZCZA—SKI;50,8;39,57;39,2;39,2;35,5;65;14,17;10;15,4;11,8;7,4;290.0;520.0;375.0;600.0
£”DZKIE;SIERADZKI;50,06;41,41;39,13;40,47;42,67;55;18,06;15,33;14,6;12,75;6,85;331.0;659.0;356.0;659.0
£”DZKIE;S£UPECKI;49,64;37,69;37,2;37,5;36;53,6;12,7;6,75;13,5;8,75;4,38;371.0;670.0;382.0;657.0
£”DZKIE;TURECKI;49,75;39,22;36,54;36,6;42,43;52,29;13,06;X;14,42;10,17;7,67;245.0;521.0;321.0;592.0
£”DZKIE;WIELU—SKI;51,58;41,23;37;41,5;39;X;14,75;9,5;14,5;12,05;6,82;392.0;636.0;357.0;554.0
£”DZKIE;£ASKI;49,65;38,88;38,5;39,72;45;70,33;17,68;8;16,68;12,21;7,75;247.0;545.0;320.0;573.0
£”DZKIE;£”DZKI;50,33;43;41,67;43,25;X;75;19,75;X;18;14,25;8,25;283.0;467.0;433.0;633.0
£”DZKIE;£”Dè (MIASTO);;;;;;;;;;;;;;;
£”DZKIE;£ CZYCKI;49,91;38,58;38,44;37,22;X;68;18,23;13,67;18,56;13,78;7,25;365.0;635.0;392.0;642.0
åL•SKIE;BIELSKO (MIASTO);;;;;;;;;;;;;;;
åL•SKIE;BIELSKI (BIELSKO);47,56;41,33;39;39,3;X;X;18,65;11;34,36;27,86;15,13;266.0;520.0;329.0;592.0
åL•SKIE;CIESZY—SKI;52,13;43,81;41,57;39,56;X;X;28,14;X;37,68;27,18;13,1;305.0;659.0;388.0;679.0
åL•SKIE;KATOWICE (MIASTO);;;;;;;;;;;;;;;
åL•SKIE;KATOWICKI;53,56;45,4;44,8;43,18;X;X;16,45;13;32,83;24,33;11,77;345.0;845.0;416.0;714.0
åL•SKIE;KR”LEWSKA HUTA;;;;;;;;;;;;;;;
åL•SKIE;LUBLINIECKI;47,82;42,09;41,5;41,7;X;X;19,1;12,5;25,36;21,82;7,95;329.0;663.0;373.0;611.0
åL•SKIE;PSZCZY—SKI;47,3;41,35;40,95;40,55;X;x;18,35;X;34;25,75;10,26;328.0;643.0;345.0;600.0
åL•SKIE;RYBNICKI;48,83;42,21;42,38;42,2;X;64,5;16,4;X;35,29;28,86;9,53;366.0;705.0;413.0;681.0
åL•SKIE;TARNOG”RSKI;50,91;43,9;40,5;41,56;X;X;20,22;X;32,5;24,2;10,14;306.0;909.0;359.0;691.0
åL•SKIE;åWI TOCH£OWICKI;53;44,67;44,11;43;X;X;18;9,25;38,22;29,4;11,89;370.0;870.0;470.0;905.0
