Region;District;Pszenica (za q = 100kg);Øyto (za q = 100kg);JÍczmieÒ browarniany (za q = 100kg);JÍczmieÒ innych gatunkÛw (za q = 100kg);Owies (za q = 100kg);Gryka (za q = 100kg);Groch (za q = 100kg);Ziemniaki jadalne (za q = 100kg);Ziemniaki fabryczne (za q = 100kg);Siano koniczyny (za q = 100kg);Siano ≥πkowe (za q = 100kg);S≥oma (za q = 100kg)
TARNOPOLSKIE;ZBOROWSKI;28,00;13,8;16,00;15;16,25;18,50;22,00;9;X;8,00;8,00;4,25
TARNOPOLSKIE;Z£OCZOWSKI;29,33;15,42;18,43;16;17,1;24,67;25,33;8,43;4,50;9,13;7,73;4,85
WARSZAWSKIE;B£O—SKI;30,21;16,5;20,13;19,17;19,33;28,00;25,50;9,13;7,50;11,85;8,80;5,39
WARSZAWSKIE;CIECHANOWSKI;28,90;15,9;19,42;18,24;18,6;29,50;25,56;5,45;4,71;9,47;6,78;3,81
WARSZAWSKIE;GOSTYNI—SKI;28,46;15,67;19,25;18,6;15,36;23,50;27,00;7,96;6,25;9,71;8,06;4,94
WARSZAWSKIE;GR”JECKI;30,63;16,25;19,30;18,07;19,28;31,00;X;8,1;6,50;10,89;8,40;4,89
WARSZAWSKIE;KUTNOWSKI;29,69;16,92;21,64;19,11;17,7;X;29,80;8,11;6,00;10,25;7,38;3,72
WARSZAWSKIE;LIPNOWSKI;29,67;17;22,80;20,05;20,33;X;30,00;8,45;5,00;10,50;8,14;5
WARSZAWSKIE;MAKOWSKI (MAK”W MAZOWIECKI);29,70;15,28;19,33;16,6;16,93;23,11;24,50;5,3;4,00;7,86;6,05;4,01
WARSZAWSKIE;MI—SKI;33,40;17,4;21,00;18;20,2;X;X;6,25;5,50;11,00;8,00;4,8
WARSZAWSKIE;M£AWSKI;29,56;16,83;22,00;19,13;19,25;30,00;30,50;5,56;3,00;7,78;5,73;3,65
WARSZAWSKIE;NIESZAWSKI;28,95;17,05;22,35;20,46;20,54;30,00;29,40;6,53;4,13;10,50;8,00;5,15
WARSZAWSKIE;PRZASNYCKI;29,63;15,13;18,67;16;18;X;X;3,97;2,65;10,00;7,00;3,33
WARSZAWSKIE;PU£TUSKI;29,83;15,75;20,50;18,86;19,88;25,83;30,67;6,11;5,33;10,15;8,00;4,29
WARSZAWSKIE;P£OCKI;30,45;16,32;23,43;19,63;17,84;26,33;36,00;6,85;6,50;9,72;8,86;4,67
WARSZAWSKIE;P£O—SKI;29,90;16,7;20,29;19,38;19,06;22,25;29,50;6,11;5,29;9,80;7,60;4,45
WARSZAWSKIE;RADZYMI—SKI;32,53;16,53;21,33;18,67;17,75;25,20;29,00;8,15;5,00;12,08;8,36;5,23
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);31,18;15,89;20,00;18,86;19,12;32,50;38,60;6,48;4,50;9,70;6,86;3,9
WARSZAWSKIE;RYPI—SKI;29,80;17,19;22,23;21,27;20,08;X;24,00;6,55;4,50;9,00;7,00;5
WARSZAWSKIE;SIERPECKI;28,50;15,25;20,21;18,82;18,68;26,38;24,38;5,58;4,25;8,67;6,71;4,13
WARSZAWSKIE;SKIERNIEWICKI;30,50;15,1;16,50;16,33;18,33;30,00;X;6,42;4,33;10,67;8,50;4
WARSZAWSKIE;SOCHACZEWSKI;31,27;16,27;18,33;16,5;17,18;X;20,00;9,25;9,00;10,80;9,00;5,2
WARSZAWSKIE;WARSZAWSKI;30,64;16,94;20,20;18,67;19,77;X;X;10,28;8,00;14,38;10,38;6,36
WARSZAWSKIE;W£OC£AWSKI;29,58;17,25;23,50;21;21,33;X;X;7,04;6,00;7,50;5,50;3,44
WARSZAWSKIE;£OWICKI;30,25;15,23;18,75;17;17,73;28,00;33,50;6,1;X;11,78;8,25;5,7
WO£Y—SKIE;DUBIE—SKI;30,80;16,25;17,25;16,5;19,63;19,20;25,80;7,71;6,60;12,00;8,48;3,47
WO£Y—SKIE;HOROCHOWSKI;25,25;13,38;13,70;12,92;13,27;20,44;23,50;4,65;3,95;5,88;4,55;2,72
WO£Y—SKIE;KOSTOPOLSKI;26,68;13,32;14,86;13,86;13,83;18,63;19,14;5,29;4,00;6,40;4,76;3,17
WO£Y—SKIE;KOWELSKI;30,20;15,41;17,71;16;17,65;19,67;20,06;6,35;5,72;7,21;5,73;3,23
WO£Y—SKIE;KRZEMIENIECKI;28,82;15,23;16,60;16,14;18,85;18,50;25,50;7,5;X;6,73;5,82;2,79
WO£Y—SKIE;LUBOMELSKI;26,08;13,58;13,83;13,63;14,27;23,16;21,18;5,16;4,25;5,43;5,12;3,21
WO£Y—SKIE;R”WIE—SKI;27,10;13,15;15,50;14,5;14,94;20,93;22,18;5,29;3,60;6,32;5,61;3,06
WO£Y—SKIE;SARNE—SKI;28,16;13,89;15,09;13,86;14,42;20,92;24,07;5;3,75;6,23;5,08;2,7
WO£Y—SKIE;W£ODZIMIERSKI;27,35;13,4;16,17;15,23;14,56;22,08;21,33;6,9;X;5,92;4,98;2,91
WO£Y—SKIE;ZDO£BUNOWSKI;27,20;13,05;14,89;14,67;14,11;22,53;21,43;4,13;3,60;6,33;5,15;2,87
WO£Y—SKIE;£UCKI;28,60;12,8;15,00;15;16,6;17,40;18,40;7;5,00;8,25;6,40;2,5
ZIEMIA WILE—SKA;BRAS£AWSKI;28,35;14,75;18,29;17,06;13,84;21,00;18,20;4,79;3,75;6,95;4,28;3,5
ZIEMIA WILE—SKA;DZIåNIE—SKI;31,85;15;18,00;17,85;15,6;24,00;20,83;4,68;3,69;7,77;6,02;3,99
ZIEMIA WILE—SKA;MO£ODECZA—SKI;30,75;14,57;17,00;16,4;15,54;20,75;23,33;4,86;X;10,47;8,24;5,1
ZIEMIA WILE—SKA;OSZMIA—SKI;29,86;14,33;15,71;15,44;16,71;17,75;21,00;4,46;3,60;9,75;7,08;5,25
ZIEMIA WILE—SKA;POSTAWSKI;29,69;12,5;16,40;15,82;13,65;24,00;18,71;4,48;X;6,93;4,99;3,83
ZIEMIA WILE—SKA;WILEJSKI;33,25;13,63;16,60;16,27;16,92;16,50;18,50;5,58;4,48;9,42;6,59;4,71
ZIEMIA WILE—SKA;WILE—SKO-TROCKI;29,86;15,65;16,50;16,5;18,77;19,43;23,44;6,13;X;7,10;6,49;4,76
ZIEMIA WILE—SKA;WILNO (MIASTO);;;;;;;;;;;;
ZIEMIA WILE—SKA;åWI CIA—SKI;31,00;15,54;X;17,5;15,82;20,00;17,00;6,62;X;9,25;6,36;4,15
£”DZKIE;BRZEZI—SKI;31,00;15,8;18,67;17,75;18,6;X;X;7,27;6,50;9,71;7,57;4,69
£”DZKIE;KALISKI;31,27;17,87;22,45;20,73;18,67;39,00;33,00;6,64;3,50;9,63;8,09;4,38
£”DZKIE;KOLSKI;31,00;17,45;21,56;18,85;18,06;X;26,00;7,21;5,00;10,00;8,50;4,39
£”DZKIE;KONI—SKI;28,86;17,1;21,20;19,43;17,75;28,00;28,10;6,45;4,25;11,43;9,60;4,45
£”DZKIE;PIOTRKOWSKI;30,84;16,16;19,00;17,27;17,67;22,00;33,50;6,79;6,00;10,44;8,17;4,19
£”DZKIE;RADOMSZCZA—SKI;32,58;15,77;18,67;17,2;19,09;28,33;30,00;6,13;6,00;9,56;7,10;3,96
£”DZKIE;SIERADZKI;31,70;16,45;18,83;16,89;18,56;30,00;35,00;7,73;3,00;10,57;7,81;4,38
£”DZKIE;S£UPECKI;30,00;17,64;24,00;21,11;19,67;22,00;35,00;7,59;3,50;11,00;8,67;3,63
£”DZKIE;TURECKI;30,35;16,35;20,44;18;16,89;27,50;34,89;7,32;5,20;9,75;7,84;4,13
£”DZKIE;WIELU—SKI;32,42;16,1;21,67;21;20,56;X;32,50;7;5,00;11,80;8,65;3,71
£”DZKIE;£ASKI;33,20;17,05;20,43;18,14;18,55;31,67;32,50;7,53;4,67;11,13;8,47;4,45
£”DZKIE;£”DZKI;31,57;16,86;20,33;19;18;X;X;8,83;6,00;10,80;9,00;5,1
£”DZKIE;£”Dè (MIASTO);;;;;;;;;;;;
£”DZKIE;£ CZYCKI;30,47;16,27;19,00;18,17;18,83;X;37,57;8,46;4,33;11,30;8,09;4,45
åL•SKIE;BIELSKO (MIASTO);;;;;;;;;;;;
åL•SKIE;BIELSKI (BIELSKO);37,29;19,43;25,00;22,5;22,25;X;X;10,5;X;13,67;10,17;6,5
åL•SKIE;CIESZY—SKI;38,14;21,5;24,60;23;23,18;X;X;12,46;X;13,29;10,06;6,79
åL•SKIE;KATOWICE (MIASTO);;;;;;;;;;;;
åL•SKIE;KATOWICKI;36,40;20,4;25,67;24;23,75;X;X;13,4;X;16,00;12,00;6,92
åL•SKIE;KR”LEWSKA HUTA;;;;;;;;;;;;
åL•SKIE;LUBLINIECKI;38,00;20,6;23,33;20,57;23,92;X;X;9,83;X;13,00;9,17;5,29
åL•SKIE;PSZCZY—SKI;34,40;19,88;25,09;23,67;24,29;X;X;9,84;X;15,67;11,61;6,31
åL•SKIE;RYBNICKI;36,13;20,56;24,82;22,56;25,88;X;X;11;7,33;14,73;11,33;6,11
åL•SKIE;TARNOG”RSKI;39,71;22,33;28,00;;29,71;X;X;10,71;X;17,33;12,29;6,71
åL•SKIE;åWI TOCH£OWICKI;37,75;21,25;X;23;26,75;X;X;10,5;X;16,00;12,00;7,25
