Region;District;Pszenica (z≥ za q = 100kg);Øyto (z≥ za q = 100kg);JÍczmieÒ browarniany (z≥ za q = 100kg);JÍczmieÒ innych gatunkÛw (z≥ za q = 100kg);Owies (z≥ za q = 100kg);Gryka (z≥ za q = 100kg);Groch (z≥ za q = 100kg);Ziemniaki jadalne (z≥ za q = 100kg);Ziemniaki fabryczne (z≥ za q = 100kg);Siano koniczyny (z≥ za q = 100kg);Siano ≥πkowe (z≥ za q = 100kg);S≥oma (z≥ za q = 100kg)
WARSZAWSKIE;RADZYMI—SKI;22,5;15,36;18,00;16,38;15,77;17,80;24,00;4,32;3,17;8,05;6,27;4,38
WARSZAWSKIE;RAWSKI (RAWA MAZOWIECKA);22,19;14,53;14,67;14,29;14,21;X;X;3,12;3,00;9,00;7,63;4,5
WARSZAWSKIE;RYPI—SKI;20,2;13,93;15,00;14,78;14,43;17,50;21,66;3,65;2,87;6,50;5,2;3,9
WARSZAWSKIE;SIERPECKI;21,62;14;15,31;14,23;14,25;18,38;21,00;3,35;3,27;6,88;5,98;3,57
WARSZAWSKIE;SKIERNIEWICKI;22;14,36;15,25;14,71;14,33;X;24,00;3,49;2,50;10,00;8,25;6
WARSZAWSKIE;SOCHACZEWSKI;22,8;15,1;16,50;14,83;14;X;25,00;3,42;X;7,33;5,3;3,7
WARSZAWSKIE;WARSZAWSKI;22,17;15,87;15,00;14,67;14,45;X;25,00;4,83;4,00;10,89;7,25;6,63
WARSZAWSKIE;W£OC£AWSKI;22,21;14,15;16,09;15,18;16,25;18,00;;3,35;3,00;6,75;4,5;3,63
WARSZAWSKIE;£OWICKI;23,77;15,15;15,42;14,8;14,15;19,00;23,00;4,02;3,38;9,33;7,1;4,94
WO£Y—SKIE;DUBIE—SKI;20,37;12,55;11,60;11,35;11,39;12,14;14,25;4,94;2,70;4,88;3,69;2,54
WO£Y—SKIE;HOROCHOWSKI;20,4;13,35;12,83;12,05;12,5;13,30;13,50;4,13;X;4,92;3,85;3,06
WO£Y—SKIE;KOSTOPOLSKI;19,5;14,3;14,00;13,88;13,56;13,53;15,67;4,27;2,40;5,23;3,93;2,23
WO£Y—SKIE;KOWELSKI;21,4;15,8;14,29;14,25;15;16,71;19,29;4,81;4,00;5,48;4,71;2,93
WO£Y—SKIE;KRZEMIENIECKI;21,37;13,45;13,33;12,58;12,45;12,44;15,69;4,07;3,80;5,35;4,56;3,04
WO£Y—SKIE;LUBOMELSKI;24,83;17,17;14,00;13,8;16,17;16,83;18,50;4,7;X;7,70;5,1;3,5
WO£Y—SKIE;R”WIE—SKI;20,7;13,1;13,23;12,59;12,68;13,78;15,13;4,3;3,80;5,73;4,83;2,76
WO£Y—SKIE;SARNE—SKI;19,25;15,63;14,00;13,55;16,18;17,00;24,00;4,5;X;7,35;4,38;2,96
WO£Y—SKIE;W£ODZIMIERSKI;22,2;13,8;15,00;13,1;13,9;16,62;18,50;4,26;X;6,36;4,97;2,84
WO£Y—SKIE;ZDO£BUNOWSKI;20,05;12,67;12,13;11,41;11,14;12,85;14,60;3,53;3,00;4,98;4,2;2,64
WO£Y—SKIE;£UCKI;20;13,55;12,73;12,52;12,62;14,54;15,22;4,24;3,45;5,47;3,44;2,55
ZIEMIA WILE—SKA;BRAS£AWSKI;15,12;10,6;13,00;10,89;9,26;9,00;10,25;2,77;2,40;3,61;2,68;1,98
ZIEMIA WILE—SKA;DZIåNIE—SKI;18,44;12,65;14,83;13,67;12,63;X;12,00;3,2;3,15;5,01;3,74;2,58
ZIEMIA WILE—SKA;MO£ODECZA—SKI;20,82;13,53;13,00;12,73;11,23;16,60;16,88;4,8;4,35;6,80;5,92;4,11
ZIEMIA WILE—SKA;OSZMIA—SKI;19,67;13,67;13,00;12,86;14,29;15,33;18,67;5,4;X;6,43;5,1;3,3
ZIEMIA WILE—SKA;POSTAWSKI;18;12,13;X;12,25;12,14;X;13,20;3,66;3,00;4,69;3,61;2,55
ZIEMIA WILE—SKA;WILEJSKI;17,67;13,47;14,00;13,67;12,69;13,00;13,83;4,2;3,60;5,43;4,27;3,87
ZIEMIA WILE—SKA;WILE—SKO-TROCKI;21,67;16,72;17,00;15,89;15,85;18,20;17,67;6,09;4,80;7,66;5,49;4,95
ZIEMIA WILE—SKA;WILNO (MIASTO);;;;;;;;;;;;
ZIEMIA WILE—SKA;åWI CIA—SKI;16,5;12,5;14,50;13,62;13,14;13,50;13,00;4,65;4,20;5,92;4,54;3,52
£”DZKIE;BRZEZI—SKI;23,25;14,7;16,00;14;14,89;X;X;3,62;X;10,50;7,86;5,33
£”DZKIE;KALISKI;22,5;14,18;16,00;14,5;14,7;17,00;20,00;3,23;3,00;6,06;5,26;3,21
£”DZKIE;KOLSKI;21,86;14,53;16,83;15;15,08;18,00;24,66;3,31;X;8,21;6,88;3,93
£”DZKIE;KONI—SKI;20,75;13,65;15,31;14,41;13,44;14,67;20,50;3,13;2,67;8,50;6,2;3,54
£”DZKIE;PIOTRKOWSKI;23;14,6;X;15,6;17,18;X;X;2,95;2,00;8,29;6,5;4,63
£”DZKIE;RADOMSZCZA—SKI;26,11;15,45;16,50;15,31;15,4;22,40;25,17;3,17;2,83;8,90;6,61;4,6
£”DZKIE;SIERADZKI;23,67;14,83;16,00;15,1;15,39;20,00;22,80;3,27;2,50;8,58;6,23;3,82
£”DZKIE;TURECKI;21,7;14,1;15,50;14,09;13,88;14,00;22,00;2,86;X;7,75;5,91;3,59
£”DZKIE;WIELU—SKI;23,21;15;15,00;15;15,5;22,00;20,00;3,57;2,50;5,90;5,83;4
£”DZKIE;£ASKI;22,74;14,4;17,83;15,09;15,61;19,00;24,33;3,57;2,46;9,07;6,94;4,6
£”DZKIE;£”DZKI;23,18;14,92;16,25;15,33;15,6;22,00;23,20;3,96;3,03;12,50;9,27;5,91
£”DZKIE;£”Dè (MIASTO);;;;;;;;;;;;
£”DZKIE;£ CZYCKI;22,45;14,82;16,67;14,63;15,67;20,00;22,33;3,08;2,00;9,67;6,93;4,31
åL•SKIE;BIELSKO (MIASTO);;;;;;;;;;;;
åL•SKIE;BIELSKI (BIELSKO);26;21,86;21,00;20;21,17;X;X;6,2;5,00;10,21;7,71;6,4
åL•SKIE;CIESZY—SKI;28,91;21,6;22,80;22,71;22,8;X;X;8,92;4,50;12,20;9,18;6,73
åL•SKIE;KATOWICE (MIASTO);;;;;;;;;;;;
åL•SKIE;KATOWICKI;26;22,25;X;22;21,75;X;X;8,08;4,50;12,75;10,13;8,25
åL•SKIE;KR”LEWSKA HUTA;;;;;;;;;;;;
åL•SKIE;LUBLINIECKI;25,2;18;20,00;19;18,25;X;X;5,33;X;10,38;8,7;5,4
åL•SKIE;PSZCZY—SKI;25,29;17,6;22,75;21,75;20,82;X;X;6,05;5,00;12,47;8,44;7,31
åL•SKIE;RYBNICKI;24,92;18,25;22,67;21,86;22,07;X;X;6,67;4,00;14,50;10,92;7,38
åL•SKIE;TARNOG”RSKI;25,3;18,27;22,00;20,71;20,71;X;X;6,44;3,00;14,85;9,63;7,19
åL•SKIE;åWI TOCH£OWICKI;24;17,86;21,75;18,25;20,43;X;X;6,38;X;13,38;10,38;6,75
