District,1. Number of workers in plants I-VII,2. Plants: total,3. Plants: I-III,4. Plants: IV-V,5. Plants: VI-VII,6. Plants: VIII,7. Mining: I-V,8. Mining: VI-VII,9. Mining: VIII,10. Mineral: I-V,11. Mineral: VI-VII,12. Mineral: VIII,13. Mineral: brickyards (within others),14. Mineral: concrete plants (within others),15. Metal and electrotechnical: I-V,16. Metal and electrotechnical: VI-VII,17. Metal and electrotechnical: VIII,18. Metal and electrotechnical: metal production (within others),19. Metal and electrotechnical: blacksmithing (within others),"20. Metal and electrotechnical: locksmithing, repairs (within others)",21. Metal and electrotechnical: tinsmithing (within others),22. Metal and electrotechnical: watchmaking and jewelry (within others),23. Chemical: I-V,24. Chemical: VI-VII,25. Chemical: VIII,26. Chemical: oil mills (within others),27. Textile: I-V,28. Textile: VI-VII,29. Textile: VIII,30. Paper: I-V,31. Paper: VI-VII,32. Paper: VIII,33. Leather: I-V,34. Leather: VI-VII,35. Leather: VIII,36. Leather: tanning and white leather (within others),37. Leather: saddlery and harness making (within others),38. Wood: I-V,39. Wood: VI-VII,40. Wood: VIII,41. Wood: sawmills (within others),42. Wood: carpentry (within others),43. Wood: wheelwrighting (within others),44. Food: I-V,45. Food: VI-VII,46. Food: VIII,47. Food: mills (within others),48. Food: bakeries (within others),49. Food: dairies (within others),50. Food: butchery and meat processing (within others),51. Clothing: I-V,52. Clothing: VI-VII,53. Clothing: VIII,54. Clothing: tailoring and clothing accessories (within others),55. Clothing: shoemaking and boot making (within others),56. Clothing: furriery (within others),57. Printing: I-V,58. Printing: VI-VII,59. Printing: VIII,60. Printing: printing houses (within others),61. Construction: I-V,62. Construction: VI-VII,63. Construction: VIII,64. Processing of various materials: VII,65. Processing of various materials: VIII,66. Power plants: I-V,67. Power plants: VI-VII,68. Power plants: VIII,69. Services: V-VII,70. Services: VIII,71. Services: hairdressing (within others),72. Services: transport (within others),73. Horticulture and fisheries: V-VII,74. Horticulture and fisheries: VIII,75. Other plants: VIII
GNIEZNO (MIASTO),1189.0,486.0,2.0,11.0,24.0,449.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,2.0,0.0,2.0,52.0,1.0,9.0,21.0,5.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,9.0,3.0,5.0,1.0,2.0,30.0,0.0,12.0,5.0,9.0,3.0,112.0,2.0,45.0,6.0,43.0,0.0,0.0,92.0,37.0,41.0,0.0,1.0,2.0,16.0,2.0,0.0,7.0,34.0,0.0,18.0,0.0,0.0,0.0,2.0,66.0,38.0,21.0,2.0,5.0,1.0
INOWROCŁAW (MIASTO),750.0,492.0,2.0,4.0,32.0,454.0,0.0,0.0,1.0,2.0,2.0,7.0,0.0,3.0,1.0,6.0,61.0,5.0,15.0,22.0,4.0,9.0,1.0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,5.0,0.0,0.0,37.0,1.0,24.0,10.0,1.0,7.0,97.0,2.0,31.0,3.0,45.0,0.0,0.0,105.0,52.0,36.0,0.0,1.0,3.0,11.0,0.0,0.0,7.0,19.0,0.0,12.0,0.0,0.0,0.0,2.0,79.0,33.0,35.0,4.0,7.0,2.0
DOLIŃSKI,3600.0,460.0,4.0,12.0,58.0,386.0,1.0,8.0,1.0,0.0,1.0,10.0,8.0,0.0,1.0,4.0,35.0,0.0,20.0,2.0,5.0,8.0,2.0,3.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,8.0,19.0,15.0,0.0,7.0,18.0,47.0,19.0,20.0,5.0,0.0,15.0,127.0,46.0,20.0,50.0,3.0,0.0,0.0,48.0,28.0,15.0,2.0,0.0,0.0,10.0,2.0,0.0,1.0,13.0,0.0,7.0,2.0,0.0,9.0,0.0,41.0,29.0,5.0,0.0,0.0,5.0
HORODEŃSKI,1050.0,290.0,1.0,1.0,35.0,253.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,27.0,1.0,22.0,0.0,2.0,1.0,0.0,0.0,53.0,52.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,12.0,1.0,2.0,33.0,88.0,24.0,16.0,39.0,1.0,0.0,0.0,32.0,11.0,6.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,0.0,3.0,4.0
KAŁUSKI,666.0,387.0,1.0,3.0,24.0,359.0,2.0,0.0,0.0,0.0,1.0,12.0,6.0,5.0,0.0,1.0,46.0,1.0,32.0,7.0,6.0,0.0,0.0,0.0,19.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,1.0,2.0,27.0,12.0,10.0,3.0,1.0,18.0,161.0,30.0,18.0,96.0,10.0,0.0,0.0,43.0,25.0,13.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,9.0,0.0,4.0,0.0,1.0,0.0,0.0,22.0,13.0,6.0,0.0,2.0,1.0
KOŁOMYJSKI,914.0,959.0,1.0,12.0,69.0,877.0,0.0,7.0,0.0,1.0,2.0,19.0,1.0,9.0,1.0,0.0,112.0,2.0,61.0,18.0,15.0,9.0,0.0,3.0,47.0,35.0,2.0,9.0,159.0,0.0,1.0,4.0,0.0,3.0,8.0,3.0,2.0,3.0,4.0,42.0,0.0,31.0,5.0,6.0,34.0,231.0,22.0,26.0,130.0,38.0,0.0,4.0,136.0,74.0,27.0,13.0,0.0,0.0,14.0,7.0,0.0,2.0,24.0,0.0,16.0,0.0,0.0,0.0,0.0,61.0,47.0,5.0,0.0,0.0,4.0
KOSOWSKI (KOSÓW HUCULSKI),416.0,677.0,0.0,3.0,78.0,596.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,0.0,0.0,36.0,0.0,17.0,1.0,6.0,10.0,0.0,0.0,2.0,2.0,1.0,63.0,217.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,2.0,2.0,29.0,3.0,7.0,8.0,0.0,9.0,146.0,62.0,16.0,58.0,3.0,0.0,0.0,79.0,33.0,31.0,13.0,0.0,0.0,10.0,1.0,0.0,0.0,9.0,0.0,13.0,0.0,1.0,0.0,0.0,34.0,19.0,13.0,0.0,2.0,2.0
NADWÓRNIAŃSKI,2968.0,670.0,3.0,11.0,77.0,579.0,2.0,41.0,1.0,0.0,1.0,7.0,7.0,0.0,1.0,0.0,54.0,1.0,35.0,3.0,5.0,10.0,2.0,5.0,3.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,9.0,13.0,28.0,5.0,16.0,4.0,0.0,11.0,202.0,33.0,15.0,102.0,39.0,0.0,0.0,129.0,54.0,64.0,6.0,0.0,0.0,13.0,1.0,0.0,2.0,20.0,0.0,3.0,0.0,3.0,7.0,1.0,97.0,50.0,43.0,0.0,0.0,1.0
ROHATYŃSKI,112.0,328.0,0.0,5.0,48.0,275.0,0.0,0.0,1.0,0.0,0.0,35.0,15.0,8.0,0.0,0.0,40.0,0.0,25.0,3.0,9.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,2.0,15.0,1.0,5.0,44.0,104.0,12.0,16.0,53.0,12.0,0.0,0.0,32.0,21.0,9.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,26.0,19.0,3.0,1.0,1.0,0.0
STANISŁAWOWSKI,1308.0,963.0,3.0,22.0,92.0,846.0,0.0,0.0,0.0,1.0,12.0,18.0,2.0,3.0,2.0,4.0,113.0,6.0,22.0,28.0,25.0,24.0,2.0,1.0,25.0,6.0,1.0,1.0,11.0,0.0,2.0,2.0,2.0,7.0,8.0,4.0,1.0,4.0,6.0,57.0,4.0,35.0,3.0,12.0,42.0,210.0,23.0,31.0,97.0,31.0,0.0,5.0,203.0,114.0,38.0,14.0,1.0,2.0,24.0,4.0,0.0,4.0,28.0,0.0,21.0,0.0,0.0,2.0,3.0,106.0,74.0,12.0,3.0,11.0,7.0
STRYJSKI,2399.0,495.0,2.0,25.0,45.0,423.0,6.0,6.0,0.0,1.0,3.0,12.0,3.0,4.0,1.0,2.0,54.0,3.0,29.0,10.0,3.0,7.0,0.0,4.0,14.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,14.0,8.0,39.0,8.0,21.0,4.0,5.0,21.0,108.0,20.0,31.0,20.0,20.0,0.0,0.0,79.0,35.0,30.0,3.0,0.0,0.0,15.0,5.0,0.0,1.0,25.0,0.0,6.0,0.0,0.0,1.0,0.0,56.0,40.0,5.0,0.0,3.0,2.0
ŚNIATYŃSKI,461.0,437.0,0.0,3.0,35.0,399.0,0.0,4.0,0.0,0.0,2.0,10.0,3.0,7.0,0.0,0.0,65.0,1.0,43.0,7.0,9.0,4.0,0.0,0.0,57.0,56.0,0.0,1.0,18.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,18.0,0.0,16.0,2.0,1.0,25.0,89.0,21.0,8.0,40.0,12.0,0.0,1.0,73.0,27.0,26.0,16.0,0.0,0.0,7.0,1.0,0.0,0.0,19.0,0.0,7.0,0.0,0.0,0.0,0.0,28.0,17.0,8.0,0.0,0.0,4.0
TŁUMACKI,885.0,461.0,0.0,6.0,29.0,426.0,0.0,0.0,0.0,1.0,2.0,9.0,1.0,3.0,0.0,1.0,68.0,2.0,37.0,6.0,15.0,8.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,4.0,1.0,0.0,23.0,0.0,20.0,1.0,2.0,26.0,137.0,10.0,11.0,82.0,19.0,1.0,0.0,107.0,46.0,48.0,8.0,0.0,0.0,4.0,1.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,1.0,0.0,31.0,14.0,14.0,0.0,1.0,1.0
ŻYDACZOWSKI,212.0,618.0,0.0,7.0,37.0,574.0,0.0,1.0,9.0,3.0,5.0,100.0,7.0,17.0,0.0,0.0,64.0,1.0,43.0,7.0,9.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,7.0,41.0,0.0,22.0,14.0,4.0,23.0,177.0,3.0,21.0,126.0,20.0,0.0,1.0,116.0,45.0,68.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,13.0,4.0,0.0,4.0,3.0
BIELSKI (BIELSKO),5713.0,795.0,9.0,41.0,41.0,704.0,1.0,0.0,13.0,7.0,3.0,31.0,2.0,17.0,5.0,4.0,88.0,5.0,38.0,20.0,14.0,5.0,4.0,1.0,9.0,0.0,13.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,6.0,8.0,11.0,119.0,3.0,88.0,18.0,5.0,13.0,112.0,1.0,34.0,1.0,68.0,0.0,0.0,168.0,82.0,78.0,1.0,0.0,0.0,5.0,1.0,1.0,4.0,34.0,0.0,21.0,1.0,0.0,0.0,0.0,86.0,32.0,47.0,1.0,4.0,0.0
BIELSKO (MIASTO),7770.0,945.0,12.0,80.0,114.0,739.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,1.0,14.0,21.0,71.0,12.0,5.0,16.0,4.0,18.0,2.0,5.0,15.0,0.0,44.0,23.0,94.0,3.0,3.0,3.0,1.0,2.0,13.0,0.0,7.0,4.0,3.0,23.0,0.0,17.0,1.0,5.0,13.0,59.0,1.0,15.0,0.0,17.0,3.0,21.0,203.0,102.0,45.0,10.0,2.0,3.0,25.0,3.0,9.0,14.0,54.0,0.0,58.0,1.0,0.0,0.0,5.0,102.0,49.0,35.0,0.0,8.0,7.0
CIESZYŃSKI,3651.0,1621.0,6.0,51.0,95.0,1469.0,6.0,11.0,41.0,9.0,11.0,36.0,3.0,13.0,8.0,5.0,186.0,6.0,80.0,42.0,23.0,13.0,1.0,0.0,23.0,0.0,3.0,0.0,10.0,1.0,1.0,4.0,3.0,0.0,25.0,3.0,15.0,3.0,9.0,222.0,21.0,143.0,38.0,6.0,32.0,161.0,7.0,45.0,6.0,66.0,3.0,5.0,409.0,207.0,166.0,5.0,2.0,3.0,40.0,5.0,10.0,14.0,52.0,0.0,73.0,2.0,0.0,1.0,4.0,171.0,53.0,108.0,0.0,11.0,4.0
TARNOGÓRSKI,2638.0,819.0,3.0,26.0,31.0,759.0,4.0,2.0,9.0,7.0,6.0,4.0,0.0,3.0,1.0,2.0,65.0,1.0,27.0,13.0,6.0,12.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,7.0,0.0,5.0,5.0,3.0,46.0,0.0,33.0,6.0,5.0,5.0,192.0,3.0,106.0,0.0,69.0,0.0,3.0,121.0,74.0,40.0,1.0,0.0,1.0,14.0,4.0,4.0,4.0,20.0,0.0,26.0,0.0,0.0,1.0,1.0,224.0,48.0,167.0,2.0,1.0,23.0
KATOWICE (MIASTO),11083.0,1620.0,7.0,92.0,212.0,1309.0,1.0,0.0,1.0,6.0,5.0,12.0,0.0,2.0,16.0,42.0,182.0,9.0,12.0,67.0,25.0,25.0,6.0,6.0,32.0,0.0,0.0,2.0,30.0,0.0,1.0,7.0,1.0,2.0,10.0,1.0,7.0,4.0,4.0,78.0,0.0,53.0,4.0,11.0,14.0,172.0,0.0,80.0,6.0,43.0,9.0,41.0,379.0,202.0,72.0,23.0,7.0,11.0,42.0,7.0,37.0,56.0,69.0,0.0,106.0,1.0,1.0,0.0,25.0,177.0,99.0,64.0,2.0,8.0,4.0
KATOWICKI,12822.0,1772.0,19.0,76.0,94.0,1583.0,13.0,3.0,2.0,27.0,1.0,13.0,2.0,1.0,19.0,18.0,127.0,10.0,39.0,41.0,16.0,12.0,12.0,7.0,21.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,0.0,1.0,11.0,0.0,11.0,5.0,7.0,92.0,2.0,74.0,7.0,10.0,10.0,619.0,3.0,320.0,1.0,220.0,0.0,4.0,232.0,106.0,94.0,3.0,0.0,5.0,26.0,8.0,5.0,25.0,62.0,4.0,75.0,1.0,0.0,5.0,10.0,255.0,153.0,84.0,1.0,29.0,4.0
LUBLINIECKI,1626.0,506.0,1.0,21.0,22.0,462.0,0.0,0.0,3.0,6.0,2.0,12.0,1.0,7.0,0.0,2.0,51.0,0.0,36.0,6.0,4.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,7.0,2.0,57.0,3.0,43.0,9.0,6.0,9.0,120.0,1.0,40.0,0.0,66.0,0.0,0.0,61.0,31.0,25.0,0.0,0.0,0.0,5.0,2.0,1.0,5.0,15.0,0.0,10.0,0.0,0.0,1.0,0.0,114.0,20.0,91.0,0.0,5.0,3.0
PSZCZYŃSKI,9995.0,1133.0,11.0,40.0,77.0,1005.0,6.0,3.0,4.0,8.0,10.0,33.0,1.0,18.0,9.0,5.0,115.0,1.0,70.0,26.0,4.0,11.0,6.0,1.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,8.0,0.0,8.0,4.0,10.0,125.0,6.0,79.0,21.0,8.0,17.0,386.0,7.0,176.0,1.0,158.0,0.0,2.0,146.0,71.0,68.0,0.0,1.0,0.0,15.0,5.0,1.0,22.0,32.0,1.0,25.0,1.0,0.0,1.0,4.0,97.0,69.0,20.0,4.0,7.0,3.0
RYBNICKI,16244.0,1807.0,12.0,63.0,81.0,1651.0,7.0,4.0,0.0,22.0,7.0,41.0,2.0,29.0,4.0,5.0,196.0,5.0,86.0,58.0,18.0,18.0,6.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,21.0,0.0,19.0,6.0,11.0,158.0,9.0,119.0,23.0,14.0,22.0,617.0,21.0,333.0,1.0,216.0,0.0,5.0,320.0,161.0,145.0,1.0,0.0,2.0,29.0,6.0,7.0,18.0,50.0,0.0,51.0,3.0,2.0,2.0,4.0,139.0,90.0,34.0,0.0,7.0,10.0
ŚWIĘTOCHŁOWICKI,29409.0,868.0,17.0,22.0,38.0,791.0,13.0,0.0,1.0,3.0,4.0,5.0,0.0,1.0,11.0,4.0,69.0,3.0,22.0,16.0,14.0,11.0,4.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,3.0,36.0,0.0,28.0,3.0,2.0,7.0,350.0,1.0,183.0,3.0,112.0,0.0,1.0,141.0,85.0,43.0,0.0,1.0,1.0,18.0,4.0,1.0,10.0,17.0,0.0,21.0,3.0,2.0,2.0,5.0,107.0,73.0,26.0,0.0,4.0,5.0
CHORZÓW,6640.0,1265.0,7.0,35.0,96.0,1127.0,1.0,0.0,1.0,2.0,4.0,7.0,0.0,1.0,5.0,14.0,111.0,11.0,22.0,31.0,14.0,17.0,8.0,4.0,19.0,0.0,0.0,3.0,6.0,1.0,1.0,1.0,1.0,4.0,11.0,0.0,7.0,2.0,9.0,75.0,0.0,58.0,5.0,7.0,16.0,283.0,1.0,137.0,1.0,92.0,0.0,8.0,301.0,176.0,70.0,9.0,3.0,3.0,26.0,9.0,9.0,27.0,43.0,0.0,45.0,1.0,0.0,1.0,5.0,184.0,95.0,75.0,0.0,8.0,5.0
BORSZCZOWSKI,435.0,332.0,0.0,4.0,46.0,282.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,30.0,0.0,9.0,5.0,8.0,8.0,0.0,0.0,22.0,21.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,12.0,0.0,9.0,2.0,3.0,39.0,83.0,38.0,14.0,17.0,9.0,0.0,0.0,72.0,36.0,22.0,13.0,0.0,0.0,5.0,1.0,0.0,0.0,14.0,0.0,2.0,0.0,1.0,1.0,0.0,28.0,15.0,11.0,0.0,0.0,3.0
BRODZKI,535.0,356.0,0.0,5.0,62.0,289.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,0.0,1.0,29.0,1.0,15.0,2.0,2.0,8.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,16.0,0.0,1.0,1.0,18.0,15.0,2.0,10.0,2.0,3.0,38.0,118.0,9.0,14.0,68.0,16.0,0.0,0.0,39.0,27.0,7.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,25.0,17.0,3.0,0.0,0.0,6.0
BRZEŻAŃSKI,616.0,246.0,0.0,11.0,41.0,194.0,0.0,0.0,0.0,2.0,2.0,8.0,0.0,5.0,0.0,0.0,27.0,1.0,15.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,14.0,7.0,1.0,4.0,1.0,2.0,25.0,79.0,4.0,12.0,52.0,7.0,0.0,0.0,24.0,14.0,7.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,1.0,0.0,21.0,16.0,1.0,0.0,0.0,0.0
BUCZACKI,995.0,508.0,0.0,4.0,85.0,419.0,0.0,0.0,0.0,1.0,1.0,19.0,4.0,3.0,0.0,0.0,55.0,3.0,29.0,3.0,12.0,7.0,0.0,1.0,8.0,8.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,12.0,0.0,12.0,0.0,3.0,76.0,210.0,29.0,17.0,122.0,33.0,0.0,1.0,58.0,35.0,18.0,2.0,0.0,0.0,7.0,3.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,25.0,18.0,4.0,0.0,4.0,2.0
CZORTKOWSKI,437.0,321.0,2.0,1.0,50.0,268.0,0.0,0.0,2.0,0.0,3.0,7.0,2.0,3.0,0.0,1.0,38.0,0.0,21.0,6.0,8.0,3.0,0.0,1.0,19.0,17.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,9.0,0.0,8.0,0.0,3.0,40.0,82.0,27.0,11.0,26.0,8.0,0.0,2.0,40.0,19.0,8.0,3.0,0.0,0.0,7.0,3.0,0.0,1.0,11.0,0.0,7.0,0.0,0.0,2.0,0.0,24.0,15.0,4.0,0.0,1.0,14.0
KAMIONECKI,399.0,210.0,0.0,8.0,34.0,168.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,16.0,1.0,8.0,0.0,4.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,10.0,9.0,1.0,1.0,0.0,3.0,21.0,91.0,4.0,10.0,68.0,1.0,0.0,0.0,23.0,9.0,7.0,2.0,0.0,0.0,3.0,2.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,1.0,0.0
PODHAJECKI,90.0,156.0,0.0,3.0,23.0,130.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,0.0,9.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,8.0,0.0,6.0,0.0,2.0,20.0,60.0,12.0,7.0,37.0,3.0,0.0,0.0,19.0,14.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,10.0,5.0,3.0,0.0,2.0,2.0
PRZEMYŚLAŃSKI,351.0,270.0,0.0,5.0,47.0,218.0,0.0,0.0,0.0,0.0,1.0,17.0,10.0,2.0,0.0,0.0,16.0,0.0,9.0,5.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,10.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,0.0,10.0,0.0,2.0,29.0,95.0,15.0,12.0,60.0,1.0,0.0,0.0,19.0,14.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,9.0,1.0,0.0,0.0,3.0
RADZIECHOWSKI,398.0,234.0,0.0,6.0,59.0,169.0,0.0,0.0,0.0,0.0,3.0,9.0,2.0,6.0,0.0,1.0,20.0,1.0,12.0,3.0,1.0,2.0,0.0,1.0,12.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,18.0,20.0,1.0,12.0,0.0,3.0,35.0,44.0,9.0,8.0,15.0,9.0,0.0,1.0,34.0,19.0,14.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,0.0,0.0,3.0
SKAŁACKI,200.0,278.0,0.0,3.0,63.0,212.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,0.0,0.0,27.0,0.0,9.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,9.0,0.0,3.0,54.0,63.0,10.0,12.0,30.0,4.0,0.0,0.0,27.0,16.0,9.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,18.0,14.0,0.0,0.0,0.0,44.0
TARNOPOLSKI,554.0,430.0,0.0,9.0,60.0,361.0,0.0,1.0,20.0,0.0,4.0,11.0,2.0,2.0,0.0,1.0,38.0,4.0,3.0,11.0,9.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,16.0,0.0,14.0,0.0,7.0,46.0,119.0,24.0,26.0,51.0,9.0,0.0,2.0,48.0,20.0,12.0,6.0,0.0,1.0,10.0,6.0,1.0,4.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,33.0,22.0,4.0,0.0,3.0,26.0
TREMBOWELSKI,263.0,260.0,0.0,6.0,51.0,203.0,0.0,11.0,8.0,1.0,2.0,17.0,8.0,0.0,0.0,0.0,24.0,1.0,11.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,5.0,36.0,75.0,18.0,3.0,35.0,16.0,0.0,1.0,22.0,11.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,9.0,7.0,0.0,0.0,0.0,19.0
ZALESZCZYCKI,134.0,426.0,0.0,2.0,47.0,377.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,88.0,1.0,63.0,5.0,13.0,6.0,0.0,0.0,25.0,25.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,30.0,0.0,20.0,10.0,1.0,42.0,108.0,43.0,12.0,25.0,23.0,0.0,0.0,69.0,30.0,24.0,14.0,0.0,0.0,7.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,31.0,11.0,17.0,0.0,0.0,4.0
ZBARASKI,148.0,269.0,0.0,2.0,38.0,229.0,0.0,0.0,43.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,42.0,1.0,29.0,4.0,4.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0,7.0,1.0,2.0,34.0,43.0,12.0,6.0,14.0,8.0,0.0,0.0,24.0,10.0,11.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,7.0,5.0,0.0,0.0,29.0
ZBOROWSKI,63.0,222.0,0.0,1.0,28.0,193.0,0.0,0.0,7.0,0.0,1.0,16.0,13.0,3.0,0.0,0.0,42.0,0.0,29.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,3.0,2.0,1.0,20.0,59.0,13.0,8.0,34.0,0.0,0.0,0.0,25.0,16.0,7.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,17.0,8.0,8.0,0.0,0.0,2.0
ZŁOCZOWSKI,427.0,310.0,0.0,7.0,55.0,248.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,6.0,0.0,2.0,23.0,3.0,9.0,6.0,2.0,3.0,0.0,0.0,12.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,5.0,4.0,1.0,2.0,4.0,15.0,2.0,9.0,1.0,4.0,44.0,103.0,20.0,12.0,56.0,6.0,0.0,0.0,40.0,18.0,15.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,1.0,1.0,0.0,23.0,14.0,1.0,0.0,0.0,0.0
